MLSNumber,Address,Status,SoldPrice,OriginalPrice,CurrentPrice,Last List Price,DOM,PMP,ListDate,StatusDate,Agreement of Sale/Signed Lease Date,SettledDate,Concessions YN,Concessions Remarks,SellerConcessionsAmount,FinalFinancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518048,4401 Sandy Dr,Closed,"$231,000 ","$229,900 ","$231,000 ","$229,900 ",5,5,12/11/20,1/17/21,12/15/20,1/15/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC513006,2408 Owen Dr,Closed,"$231,500 ","$239,500 ","$224,500 ","$234,500 ",45,45,11/15/20,2/15/21,12/29/20,2/22/21,Yes,,"$9,000 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC508044,5901 Old Capitol Trl,Closed,"$231,500 ","$225,000 ","$225,000 ",,3,3,8/27/20,11/4/20,8/30/20,10/30/20,Yes,,"$6,945 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC510684,3228 Brookline Rd,Closed,"$232,000 ","$225,000 ","$234,900 ","$225,000 ",2,2,10/7/20,11/20/20,10/8/20,11/20/20,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC520348,3205 Brookline Rd,Closed,"$232,500 ","$239,000 ","$233,900 ","$239,000 ",12,12,2/2/21,3/31/21,2/12/21,3/31/21,Yes,,"$6,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500064,2425 E Parris Dr,Closed,"$232,500 ","$255,000 ","$255,000 ",,24,24,4/25/20,7/30/20,5/28/20,7/17/20,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC498974,2210 Alister Dr,Closed,"$232,500 ","$230,000 ","$230,000 ",,22,22,3/30/20,6/22/20,4/18/20,6/4/20,Yes,Credit,"$8,500 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC517252,4520 Hendry Ave,Closed,"$233,000 ","$215,000 ","$215,000 ",,4,4,11/28/20,1/27/21,12/1/20,1/27/21,Yes,,$533 ,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523606,3253 Champions Dr,Closed,"$234,000 ","$234,000 ","$234,000 ",,6,6,4/22/21,5/28/21,4/26/21,5/28/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522204,6 Sandybrae Ct,Closed,"$234,000 ","$239,900 ","$239,900 ","$219,900 ",20,20,3/24/21,5/20/21,4/12/21,5/19/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC520338,4 Penndrew Ct,Closed,"$234,000 ","$239,000 ","$234,000 ","$239,000 ",7,7,2/3/21,3/25/21,2/9/21,3/25/21,Yes,,"$5,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523950,4809 Weatherhill Dr,Closed,"$235,000 ","$235,000 ","$235,000 ",,1,1,4/2/21,5/6/21,4/3/21,5/6/21,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518792,5545 Doral Dr,Closed,"$235,000 ","$185,000 ","$185,000 ",,5,5,1/4/21,1/28/21,1/8/21,1/27/21,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518678,6018 Old Capitol Trl,Closed,"$235,000 ","$235,000 ","$235,000 ",,3,3,12/30/20,2/12/21,1/1/21,2/12/21,Yes,,"$4,700 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC509076,2644 Drayton Dr,Closed,"$235,000 ","$235,000 ","$235,000 ",,1,1,9/14/20,11/13/20,9/14/20,11/12/20,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC503958,2125 Elder Dr,Closed,"$236,000 ","$250,000 ","$250,000 ",,12,12,6/30/20,8/28/20,7/13/20,8/24/20,Yes,,"$7,080 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501174,3828 Katherine Ave,Closed,"$236,000 ","$234,900 ","$234,900 ",,17,17,5/13/20,7/6/20,5/29/20,7/6/20,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC517408,4752 Weatherhill Dr,Closed,"$237,500 ","$247,900 ","$247,900 ",,7,7,11/29/20,1/14/21,12/6/20,1/14/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC505992,2619 Salem Dr,Closed,"$239,900 ","$250,000 ","$239,900 ","$250,000 ",14,14,7/27/20,9/25/20,8/8/20,9/24/20,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC502848,4950 S Raintree Ct,Closed,"$239,900 ","$239,900 ","$239,900 ",,4,4,6/9/20,7/24/20,6/11/20,7/24/20,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC517542,4432 Sandy Dr,Closed,"$240,000 ","$239,900 ","$239,900 ",,3,3,12/3/20,1/13/21,12/5/20,1/12/21,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512400,3225 Champions Dr,Closed,"$240,000 ","$265,000 ","$259,900 ","$265,000 ",15,15,11/2/20,1/4/21,11/17/20,12/30/20,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC508204,1111 Highland Ave,Closed,"$240,000 ","$235,000 ","$235,000 ",,3,3,8/31/20,10/2/20,9/2/20,10/2/20,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC502158,1212 Lorrain Ave,Closed,"$240,000 ","$240,000 ","$240,000 ",,3,3,5/28/20,7/30/20,5/30/20,7/30/20,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500764,2721 Westlock Dr,Closed,"$240,000 ","$229,900 ","$229,900 ",,6,6,5/7/20,7/2/20,5/11/20,6/30/20,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC508476,3424 Pebble Beach Dr,Closed,"$240,500 ","$234,900 ","$240,900 ","$234,900 ",7,7,9/4/20,10/16/20,9/9/20,10/16/20,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523874,3815 Hutchison Rd,Closed,"$241,000 ","$229,900 ","$245,900 ","$229,900 ",5,5,4/6/21,5/27/21,4/9/21,5/26/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC517754,4864 Weatherhill Dr,Closed,"$241,000 ","$239,900 ","$239,900 ",,3,3,12/7/20,2/23/21,12/8/20,2/23/21,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC499872,4708 Old Capitol Trl,Closed,"$242,000 ","$249,900 ","$235,000 ","$238,000 ",37,37,4/18/20,6/30/20,5/23/20,6/29/20,Yes,,"$10,000 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC505060,2218 Saint Francis St,Closed,"$243,000 ","$249,900 ","$244,900 ","$249,900 ",13,13,7/14/20,9/4/20,8/3/20,8/31/20,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523916,3240 Champions Dr,Closed,"$245,000 ","$234,900 ","$234,900 ",,2,2,4/6/21,5/13/21,4/7/21,5/13/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523336,2408 Faulkland Rd,Closed,"$245,000 ","$235,000 ","$245,000 ","$235,000 ",6,6,4/1/21,5/21/21,4/6/21,5/21/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC510198,4622 Muggleton Rd,Closed,"$245,000 ","$245,000 ","$245,000 ",,6,6,10/1/20,12/8/20,10/6/20,12/7/20,Yes,Seller Credit,"$4,700 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC502980,4720 Weatherhill Dr,Closed,"$245,000 ","$260,000 ","$254,000 ","$260,000 ",24,24,6/12/20,8/18/20,7/17/20,8/17/20,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500324,152 Steven Ln,Closed,"$245,925 ","$265,000 ","$250,000 ","$254,900 ",75,75,4/29/20,8/18/20,7/12/20,8/17/20,Yes,,"$4,919 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501922,2853 E Oakland Dr,Closed,"$247,000 ","$235,000 ","$235,000 ",,3,3,5/26/20,7/1/20,5/28/20,6/30/20,Yes,Settlement help,"$2,475 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501074,3412 Pebble Beach Dr,Closed,"$247,500 ","$247,500 ","$247,500 ",,23,23,5/11/20,7/6/20,6/2/20,6/30/20,Yes,Closing Costs,"$8,000 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC502326,2395 Nicholby Dr,Closed,"$248,000 ","$239,999 ","$239,999 ",,4,4,6/1/20,9/2/20,6/4/20,9/1/20,Yes,,"$7,440 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC524374,1809 Marshall Ave,Closed,"$250,000 ","$250,000 ","$250,000 ",,0,0,4/15/21,5/21/21,4/15/21,5/14/21,Yes,,"$9,000 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC521594,3406 Pebble Beach Dr,Closed,"$250,000 ","$235,000 ","$252,000 ","$235,000 ",4,4,3/1/21,4/15/21,3/5/21,4/8/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518582,3201-Unit Falcon Ln,Closed,"$250,000 ","$265,900 ","$265,900 ",,1,1,2/1/21,2/3/21,2/1/21,2/1/21,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518650,4728 Weatherhill Dr,Closed,"$250,000 ","$250,000 ","$250,000 ",,8,8,12/29/20,2/19/21,1/4/21,2/19/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512722,2721 Bardell Dr,Closed,"$250,000 ","$188,000 ","$188,000 ",,11,11,11/7/20,3/18/21,11/18/20,3/5/21,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512084,3712 Wild Cherry Ln,Closed,"$250,000 ","$274,900 ","$250,000 ","$274,900 ",35,35,10/31/20,1/12/21,11/30/20,1/8/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC511666,2410 Tapley Ln,Closed,"$250,000 ","$240,000 ","$250,000 ","$240,000 ",1,1,10/20/20,5/17/21,4/6/21,5/17/21,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC511004,32 Whitehall Cir,Closed,"$250,000 ","$250,000 ","$250,000 ",,3,3,10/10/20,11/30/20,10/13/20,11/25/20,Yes,,"$3,750 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501862,2676 Whitman Dr,Closed,"$250,000 ","$250,000 ","$250,000 ",,1,1,5/26/20,7/10/20,5/26/20,7/10/20,Yes,Settlement Help,"$10,000 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC498786,4747 Weatherhill Dr,Closed,"$250,000 ","$239,999 ","$249,900 ","$239,999 ",12,12,3/30/20,6/3/20,4/10/20,6/1/20,Yes,,"$2,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC517190,2621 Skylark Rd,Closed,"$251,000 ","$279,900 ","$279,900 ",,8,8,11/23/20,12/7/20,11/29/20,12/4/20,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512534,4771 Weatherhill Dr,Closed,"$252,500 ","$249,900 ","$249,900 ",,5,5,11/4/20,1/13/21,11/8/20,1/8/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
