MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,OwnerOccupied,TotalLandAsmt,TotalBldgAsmt,PropertyClass,YearBuilt,Bedrooms,Baths,Basement_YN,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Condo/Coop_Assoc_YN,Central_Air_YN,HOA_YN,Age,Ownership,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets
DENC523144,4.0,285000.0,3,2021,19711,Christina,2144,0.24,Brookhaven,White Clay Creek Hundred,7,True,11000,40900,Residential,1961,3.0,2.0,Yes,Yes,1550.0,520.0,No,Yes,No,1961.0,FeeSimple,Detached,2070.0,"Lower1,Main",Less than 2 months
DENC510100,1.0,299900.0,9,2020,19711,Christina,3400,0.24,Chapel Hill,Mill Creek Hundred,35,True,15100,67200,Residential,1967,4.0,3.0,Yes,Yes,1950.0,0.0,No,Yes,No,1967.0,FeeSimple,Detached,1950.0,Main,Less than 2 months
DENC524082,7.0,285000.0,4,2021,19711,Christina,2737,0.25,Fairfield Crest,Newark City,27,True,12900,50000,Residential,1960,3.0,2.0,Yes,Yes,0.0,1144.0,No,Yes,No,1960.0,FeeSimple,Detached,1144.0,"Lower1,Main,Upper1",Less than 2 months
DENC521924,10.0,289900.0,3,2021,19711,Christina,3541,0.05,Linden Way,Mill Creek Hundred,238,False,10900,74800,Residential,1996,3.0,3.0,Yes,Yes,2000.0,0.0,No,Yes,Yes,1996.0,FeeSimple,Interior Row/Townhouse,2000.0,"Lower1,Main,Upper1,Upper2",Less than 2 months
DENC521860,7.0,319900.0,3,2021,19711,Christina,3396,0.06,Linden Way,Mill Creek Hundred,226,True,11100,71100,Residential,1998,4.0,4.0,Yes,Yes,1800.0,0.0,No,Yes,Yes,1998.0,FeeSimple,Interior Row/Townhouse,1800.0,"Lower1,Main,Upper1,Upper2",Less than 2 months
DENC519622,1.0,300000.0,1,2021,19711,Red Clay Consolidated,2240,0.24,Meadowood,Mill Creek Hundred,328,True,11200,56700,Residential,1960,4.0,2.0,Yes,Yes,1875.0,0.0,No,Yes,No,1960.0,FeeSimple,Detached,1875.0,"Main,Upper1",Less than 2 months
DENC512334,5.0,315000.0,11,2020,19711,Christina,2798,0.26,Lumbrook,Newark City,54,True,11100,53200,Residential,1951,3.0,2.0,Yes,Yes,1775.0,0.0,No,Yes,No,1951.0,FeeSimple,Detached,1775.0,"Lower1,Main,Upper1",Less than 2 months
DENC507506,5.0,289900.0,8,2020,19711,Christina,2665,0.2,Sycamore Gardens,Mill Creek Hundred,22,True,11300,53200,Residential,1963,4.0,2.0,Yes,No,1900.0,0.0,No,Yes,No,1963.0,FeeSimple,Detached,1900.0,"Lower1,Main,Upper1",Less than 2 months
DENC505404,17.0,299000.0,7,2020,19711,Christina,2841,0.23,Woodmere,Newark City,25,True,13700,51600,Residential,1968,3.0,2.0,Yes,Yes,1650.0,322.0,No,Yes,No,1968.0,FeeSimple,Detached,1972.0,"Lower1,Main,Upper1",Less than 2 months
DENC500584,47.0,310000.0,5,2020,19711,Christina,3768,0.37,Fairfield,Newark City,17,False,13600,73000,Residential,1964,4.0,2.0,Yes,Yes,1900.0,0.0,No,Yes,No,1964.0,FeeSimple,Detached,1900.0,Main,Less than 2 months
