MLS Number,address_new,lat,lng
DENC499030,"4612 Pickwick  Wilmington, DE",39.7254362,-75.6645609
DENC502940,"2415 Mccawber  Wilmington, DE",39.7297288,-75.6626065
DENC521810,"2010 Carol  Wilmington, DE",39.7057101,-75.6801736
DENC520754,"4826 Hogan  Wilmington, DE",39.7360409,-75.7024459
DENC501704,"2408 Calf Run  Wilmington, DE",39.7323643,-75.6542207
DENC497766,"224 Cayman  Wilmington, DE",39.7489453,-75.6821035
DENC523044,"2411 Nicholby  Wilmington, DE",39.7287095,-75.66328829999999
DENC522776,"21 Alcott  Wilmington, DE",39.7159731,-75.6781498
DENC519188,"2500 Mccawber  Wilmington, DE",39.7303212,-75.66292469999999
DENC517978,"103 Balmore  Wilmington, DE",39.7534008,-75.6627656
DENC508818,"2805 E Oakland  Wilmington, DE",39.7471638,-75.64124319999999
DENC507304,"2803 Duncan  Wilmington, DE",39.74494130000001,-75.6492889
DENC511574,"1921 E Zabenko  Wilmington, DE",39.7150874,-75.6663789
DENC500210,"2601 Lamper  Wilmington, DE",39.7224323,-75.6764683
DENC511328,"232 Sloan  Wilmington, DE",39.7444969,-75.7103283
DENC518708,"2208 Saint Francis  Wilmington, DE",39.72032919999999,-75.6688331
DENC496572,"134 Monet  Wilmington, DE",39.7453551,-75.7100378
DENC523842,"3 Dorking  Wilmington, DE",39.7271238,-75.65883409999999
DENC507774,"143 Shinn  Wilmington, DE",39.747654,-75.706434
DENC518296,"316 Nicholas  Wilmington, DE",39.7029125,-75.67819519999999
DENC511730,"1108 Milltown  Wilmington, DE",39.7322007,-75.6609248
DENC509676,"2500 Emerson  Wilmington, DE",39.7184631,-75.67660459999999
DENC507104,"2119 Armour  Wilmington, DE",39.7193748,-75.6606067
DENC506254,"2104 Ferguson  Wilmington, DE",39.744655,-75.5483909
DENC503780,"1222 Arundel  Wilmington, DE",39.7380122,-75.6679241
DENC502518,"2607 Whittier  Wilmington, DE",39.7194863,-75.6784679
DENC518548,"14 Whistler  Wilmington, DE",39.7447229,-75.6999507
DENC509800,"2634 Belaire  Wilmington, DE",39.7259267,-75.67569569999999
DENC501278,"344 S Waterford  Wilmington, DE",39.745947,-75.68052
DENC498746,"11 Yale  Marshallton, DE",39.74150909999999,-75.6461525
