Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,NumberofStories,Central_Air_YN,Water,Basement_YN,Garage_YN,ExteriorMaterial,YearBuilt
279900.0,13,406,4,1,1,0.16,2229.0,1675.0,554.0,4.0,2.0,12,2,12,2,1,66,89
310000.0,13,369,4,2,2,0.12,1625.0,1625.0,0.0,3.0,3.0,12,2,12,2,1,69,124
305000.0,13,369,4,2,3,0.06,1700.0,1700.0,0.0,2.0,3.0,27,2,12,1,2,141,123
289900.0,13,353,4,1,1,0.25,3272.0,2400.0,872.0,3.0,3.0,11,2,12,2,2,141,97
295000.0,13,295,4,1,1,0.23,2022.0,1450.0,572.0,3.0,2.0,12,2,12,2,2,43,86
305000.0,13,168,4,1,1,0.27,2844.0,2275.0,569.0,3.0,2.0,26,2,12,2,2,141,89
275000.0,13,540,4,2,3,0.08,2759.0,2300.0,459.0,3.0,4.0,12,2,12,2,2,251,105
304900.0,13,369,4,2,3,0.06,2353.0,1950.0,403.0,3.0,3.0,12,2,12,2,2,69,125
305000.0,13,295,4,1,1,0.22,2022.0,1450.0,572.0,3.0,2.0,12,1,12,2,2,164,85
305000.0,13,238,4,2,1,0.16,2664.0,2000.0,664.0,3.0,3.0,12,2,12,2,1,164,92
305000.0,13,295,4,1,1,0.25,1601.0,1325.0,276.0,4.0,2.0,26,2,12,2,2,164,87
294900.0,13,242,4,2,1,0.23,1425.0,1425.0,0.0,3.0,2.0,26,2,12,2,2,205,94
285000.0,13,65,4,1,1,0.28,1749.0,1375.0,374.0,3.0,2.0,11,2,12,2,2,141,89
289900.0,13,266,4,1,1,0.34,2256.0,1522.0,734.0,3.0,3.0,11,2,12,2,2,141,84
294900.0,13,619,4,1,1,0.33,3300.0,2365.0,935.0,3.0,2.0,27,2,12,2,1,69,117
295000.0,13,238,4,1,1,0.31,1975.0,1975.0,0.0,4.0,3.0,27,2,12,2,2,193,92
315000.0,13,297,4,1,2,0.24,2534.0,2100.0,434.0,3.0,3.0,27,2,12,2,2,69,123
305900.0,13,538,4,2,1,0.21,1800.0,1800.0,0.0,4.0,2.0,27,2,12,1,2,283,114
313000.0,13,297,4,2,2,0.18,2460.0,2050.0,410.0,3.0,4.0,12,2,12,2,2,69,123
294900.0,13,458,4,2,1,0.18,2235.0,1675.0,560.0,3.0,2.0,11,2,12,2,2,141,92
309000.0,13,297,4,2,3,0.08,3050.0,1650.0,1400.0,3.0,3.0,12,2,12,2,2,43,124
289900.0,13,182,4,1,1,0.17,2000.0,2000.0,0.0,3.0,3.0,27,2,12,2,2,291,121
324900.0,13,294,4,1,1,0.31,3240.0,2600.0,640.0,3.0,3.0,27,2,12,2,1,35,87
310000.0,13,238,4,2,1,0.22,2400.0,2000.0,400.0,4.0,2.0,12,2,12,2,2,193,92
310000.0,13,151,4,1,1,0.17,1698.0,1425.0,273.0,3.0,2.0,27,2,12,2,2,193,86
285000.0,13,151,4,1,1,0.16,1698.0,1425.0,273.0,3.0,2.0,33,2,12,2,1,24,86
309900.0,13,11,4,2,1,0.18,2075.0,2075.0,0.0,4.0,3.0,27,2,12,2,2,73,98
