,MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,OwnerOccupied,TotalLandAsmt,TotalBldgAsmt,PropertyClass,YearBuilt,Bedrooms,Baths,Basement_YN,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Condo/Coop_Assoc_YN,Central_Air_YN,HOA_YN,Age,Ownership,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets,Predicted_DOM
1080,DENC517870,8.0,429900.0,12,2020,19806,Red Clay Consolidated,3837,0.05,Wilm #13,Wilmington City,121,True,10800,73000,Residential,1920.0,4.0,3.0,Yes,Yes,1578.0,0.0,No,No,No,1920.0,FeeSimple,Twin/Semi-Detached,1578.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1081,DENC516900,11.0,429000.0,11,2020,19806,Red Clay Consolidated,5266,0.15,Wilm #15,Wilmington City,66,True,20200,94800,Residential,1902.0,5.0,3.0,Yes,Yes,3050.0,0.0,No,Yes,No,1902.0,FeeSimple,Twin/Semi-Detached,3050.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1082,DENC511412,4.0,415000.0,10,2020,19806,Red Clay Consolidated,4817,0.06,Trolley Square,Wilmington City,282,False,14600,90600,Residential,1980.0,3.0,3.0,Yes,Yes,1625.0,185.0,No,Yes,No,1980.0,FeeSimple,End of Row/Townhouse,1810.0,"Lower1,Upper1",Less than 2 months,More than 2 months
1083,DENC504804,76.0,449000.0,7,2020,19806,Red Clay Consolidated,6136,0.06,Rockford Towers,Wilmington City,79,True,16100,117900,Residential,1980.0,3.0,3.0,Yes,Yes,2050.0,225.0,No,Yes,No,1980.0,FeeSimple,End of Row/Townhouse,2275.0,"Lower1,Main,Upper1",More than 2 months,More than 2 months
1084,DENC505918,21.0,429900.0,7,2020,19806,Red Clay Consolidated,3952,0.05,Wilm #11,Wilmington City,155,True,12700,73600,Residential,1880.0,3.0,4.0,Yes,No,2775.0,0.0,No,Yes,No,1880.0,FeeSimple,Twin/Semi-Detached,2775.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1085,DENC521852,3.0,389900.0,3,2021,19806,Red Clay Consolidated,2844,0.06,Wilm #13,Wilmington City,38,False,10500,51600,Residential,1919.0,4.0,2.0,Yes,No,1375.0,0.0,No,Yes,No,1919.0,FeeSimple,End of Row/Townhouse,1375.0,"Main,Upper1",Less than 2 months,More than 2 months
1086,DENC506508,4.0,429999.0,8,2020,19806,Red Clay Consolidated,3105,0.08,Wilm #13,Wilmington City,119,True,10900,56900,Residential,1913.0,3.0,2.0,Yes,Yes,1625.0,0.0,No,Yes,No,1913.0,FeeSimple,Twin/Semi-Detached,1625.0,"Main,Upper1",Less than 2 months,More than 2 months
1087,DENC502880,111.0,450000.0,6,2020,19806,Red Clay Consolidated,6013,0.0,Park Plaza,Wilmington City,069.C.0800,True,29100,102200,Residential,,2.0,2.0,No,No,1440.0,0.0,Yes,Yes,No,1986.0,FeeSimple,Unit/Flat/Apartment,1440.0,Main,More than 2 months,More than 2 months
1088,DENC521206,5.0,449900.0,2,2021,19806,Red Clay Consolidated,3215,0.08,Wilm #12,Wilmington City,189,True,9700,60500,Residential,1907.0,4.0,5.0,Yes,No,2050.0,0.0,No,Yes,No,1907.0,FeeSimple,Twin/Semi-Detached,2050.0,"Lower1,Main,Upper1,Upper2",Less than 2 months,More than 2 months
1089,DENC506408,4.0,429000.0,8,2020,19806,Red Clay Consolidated,5600,0.04,Wilm #13,Wilmington City,19,True,13600,108700,Residential,1900.0,4.0,3.0,Yes,No,2150.0,0.0,No,Yes,Yes,1900.0,FeeSimple,Interior Row/Townhouse,2150.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
